"linkID","nObs","meanPowerW","r_dateTime_nz","season","year","eecaCircuit","region"
"rf_06",30,0,2015-08-11 18:00:00,"Winter",2015,"Hot water","Taranaki"
"rf_06",30,1329.79633333333,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_06",30,0.569666666666667,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_06",30,218.558666666667,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_06",30,344.172333333333,2015-08-11 18:00:00,"Winter",2015,"Lighting","Taranaki"
"rf_06",30,597.972,2015-08-11 18:00:00,"Winter",2015,"Oven","Taranaki"
"rf_06",30,1329.79633333333,2015-08-11 18:00:00,"Winter",2015,"Total","Taranaki"
"rf_07",30,324.024666666667,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_07",30,356.824,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_07",30,304.079333333333,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_07",30,51.1636666666667,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_07",30,0,2015-08-11 18:00:00,"Winter",2015,"Oven","Taranaki"
"rf_07",30,0,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_07",30,680.848666666667,2015-08-11 18:00:00,"Winter",2015,"Total","Taranaki"
"rf_08",30,741.882,2015-08-11 18:00:00,"Winter",2015,"Heat Pump or Heating","Taranaki"
"rf_08",30,1.23433333333333,2015-08-11 18:00:00,"Winter",2015,"Hot water","Taranaki"
"rf_08",30,1689.619,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_08",30,536.426,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_08",30,27.4826666666667,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
"rf_08",30,0,2015-08-11 18:00:00,"Winter",2015,"Oven","Taranaki"
"rf_08",30,1690.85333333333,2015-08-11 18:00:00,"Winter",2015,"Total","Taranaki"
"rf_10",30,92.8833333333333,2015-08-11 18:00:00,"Winter",2015,"XX_Other","Taranaki"
